player,playerId,position,salary,is_franchised,ir_value,unadjusted_salary
A.J. Brown,5859,WR,9,,,
A.J. Green,830,WR,5,,,
Aaron Jones,4199,RB,8,,,
Aaron Rodgers,96,QB,18,,,
AJ Dillon,6828,RB,10,,,
Albert Okwuegbunam,6843,TE,5,,,
Alec Pierce,8142,WR,5,,,
Alexander Mattison,5987,RB,21,,,
Alvin Kamara,4035,RB,9,,,
Amari Cooper,2309,WR,7,1,,50
Amon-Ra St. Brown,7547,WR,6,,,
Antonio Gibson,6945,RB,7,,,
Austin Ekeler,4663,RB,8,,,
Austin Hooper,3202,TE,5,,,
Boston Scott,5122,RB,5,,,
Brandin Cooks,2197,WR,13,,,
Brandon Aiyuk,6803,WR,12,,,
Breece Hall,8155,RB,20,,,
Brian Robinson,8154,RB,0,,5,
Cade York,8258,K,1,,,
Cam Akers,6938,RB,21,,,
CeeDee Lamb,6786,WR,26,,,
Chase Claypool,6886,WR,19,,,
Chase Edmonds,5000,RB,6,,,
Chris Boswell,1945,K,6,,,
Chris Godwin,4037,WR,8,,,
Chris Olave,8144,WR,10,,,
Christian Kirk,4950,WR,5,,,
Christian McCaffrey,4034,RB,32,,,
Clyde Edwards-Helaire,6820,RB,5,1,,31
Cole Kmet,6826,TE,5,,,
Cooper Kupp,4039,WR,29,,,
Cordarrelle Patterson,1535,RB,5,,,
Courtland Sutton,5045,WR,14,,,
Curtis Samuel,4082,WR,5,,,
D Pierce,8129,RB,10,,,
D'Andre Swift,6790,RB,26,,,
Dak Prescott,3294,QB,4,1,,23
Dallas Goedert,5022,TE,6,,,
Dalton Schultz ,5001,TE,6,,,
Dalvin Cook,4029,RB,32,,,
Damien Harris,5890,RB,6,,,
Daniel Carlson,5095,K,5,,,
Daniel Jones,5870,QB,5,,,
Darnell Mooney,7090,WR,6,,,
Darrell Henderson Jr.,5916,RB,9,,,
Darren Waller,2505,TE,9,,,19
Davante Adams,2133,WR,10,,,
David Johnson,2391,RB,5,,,
David Montgomery,5892,RB,26,,,
Dawson Knox,5906,TE,5,,,
DeAndre Hopkins,1426,WR,2,,,74
Deebo Samuel,5872,WR,10,,,
Derrick Henry,3198,RB,8,,,
Deshaun Watson,4017,QB,15,,,
Diontae Johnson,5937,WR,25,,,
DJ Moore,4983,WR,25,,,
DK Metcalf,5846,WR,7,,,
Drake London,8112,WR,20,,,
Eli Mitchell,7561,RB,19,,,
Elijah Moore,7596,WR,6,,,
G Pickens,8137,WR,10,,,
Gabriel Davis,6943,WR,7,,,
Garret Wilson,8146,WR,10,,,
