,team,last_name,depth_chart_position,first_name,fantasy_positions,status,position,search_full_name,player_id,full_name,sport,search_first_name,search_rank,age,injury_status,active,search_last_name
5870,NYG,Jones,QB,Daniel,['QB'],Active,QB,danieljones,5870,Daniel Jones,nfl,daniel,220,25,None,True,jones
1347,None,Gragg,None,Chris,['TE'],Inactive,TE,chrisgragg,1347,Chris Gragg,nfl,chris,9999999,30,None,False,gragg
3396,None,Peake,None,Charone,['WR'],Inactive,WR,charonepeake,3396,Charone Peake,nfl,charone,1042,29,None,False,peake
6343,None,Wilkins,None,Manny,['QB'],Active,QB,mannywilkins,6343,Manny Wilkins,nfl,manny,9999999,26,None,True,wilkins
8595,WAS,McGowan,None,Kyric,['WR'],Active,WR,kyricmcgowan,8595,Kyric McGowan,nfl,kyric,9999999,22,None,True,mcgowan
3199,NO,Thomas,LWR,Michael,['WR'],Active,WR,michaelthomas,3199,Michael Thomas,nfl,michael,65,29,Questionable,True,thomas
1850,None,Boyd,None,Tajh,['QB'],Inactive,QB,tajhboyd,1850,Tajh Boyd,nfl,tajh,9999999,26,None,False,boyd
6487,None,Scarff,None,Charles,['TE'],Inactive,TE,charlesscarff,6487,Charles Scarff,nfl,charles,9999999,25,None,True,scarff
8209,BAL,Polk,None,Makai,['WR'],Active,WR,makaipolk,8209,Makai Polk,nfl,makai,500,21,None,True,polk
6898,None,Gordon,None,Anthony,['QB'],Active,QB,anthonygordon,6898,Anthony Gordon,nfl,anthony,9999999,25,None,True,gordon
2817,None,Rodriguez,None,Daniel,['WR'],Inactive,WR,danielrodriguez,2817,Daniel Rodriguez,nfl,daniel,9999999,29,None,False,rodriguez
3210,None,Jones,None,Cardale,['QB'],Inactive,QB,cardalejones,3210,Cardale Jones,nfl,cardale,9999999,29,None,False,jones
5781,SF,Turner,None,Malik,['WR'],Active,WR,malikturner,5781,Malik Turner,nfl,malik,411,26,None,True,turner
6992,DET,Warren,None,Michael,['RB'],Inactive,RB,michaelwarren,6992,Michael Warren,nfl,michael,356,23,None,True,warren
2041,None,Allen,None,Torrence,['WR'],Inactive,WR,torrenceallen,2041,Torrence Allen,nfl,torrence,9999999,27,None,False,allen
2286,None,Furney,None,Andrew,['K'],Inactive,K,andrewfurney,2286,Andrew Furney,nfl,andrew,9999999,26,None,False,furney
2050,None,Oliver,None,Branden,['RB'],Inactive,RB,brandenoliver,2050,Branden Oliver,nfl,branden,9999999,29,None,False,oliver
256,None,Lindell,None,Rian,['K'],Inactive,K,rianlindell,256,Rian Lindell,nfl,rian,9999999,40,None,False,lindell
1154,None,Broyles,None,Ryan,['WR'],Inactive,WR,ryanbroyles,1154,Ryan Broyles,nfl,ryan,9999999,29,None,False,broyles
4981,ATL,Ridley,None,Calvin,['WR'],Inactive,WR,calvinridley,4981,Calvin Ridley,nfl,calvin,278,27,Sus,True,ridley
4614,None,McCarron,None,Riley,['WR'],Inactive,WR,rileymccarron,4614,Riley McCarron,nfl,riley,9999999,28,None,False,mccarron
3573,None,Wilds,None,Brandon,['RB'],Inactive,RB,brandonwilds,3573,Brandon Wilds,nfl,brandon,9999999,28,None,False,wilds
8770,None,Williams,None,Malik,['WR'],Active,WR,malikwilliams,8770,Malik Williams,nfl,malik,9999999,23,None,True,williams
8248,NYG,Pimpleton,None,Kalil,['WR'],Active,WR,kalilpimpleton,8248,Kalil Pimpleton,nfl,kalil,9999999,23,None,True,pimpleton
6374,None,Belcher,None,Drew,['TE'],Active,TE,drewbelcher,6374,Drew Belcher,nfl,drew,9999999,25,None,True,belcher
2025,None,Wilson,None,Albert,['WR'],Active,WR,albertwilson,2025,Albert Wilson,nfl,albert,421,30,None,True,wilson
4218,CIN,Taylor,SWR,Trent,['WR'],Active,WR,trenttaylor,4218,Trent Taylor,nfl,trent,9999999,28,Questionable,True,taylor
7609,CLE,Felton,SWR,Demetric,['RB'],Active,RB,demetricfelton,7609,Demetric Felton,nfl,demetric,694,24,None,True,felton
7515,None,Castillo,None,Sergio,['K'],Active,K,sergiocastillo,7515,Sergio Castillo,nfl,sergio,None,31,None,True,castillo
2446,ATL,Pruitt,None,MyCole,['TE'],Active,TE,mycolepruitt,2446,MyCole Pruitt,nfl,mycole,598,30,None,True,pruitt
2653,None,Parker,None,Brian,['TE'],Inactive,TE,brianparker,2653,Brian Parker,nfl,brian,9999999,29,None,False,parker
4861,None,Taylor,None,Kent,['TE'],Active,TE,kenttaylor,4861,Kent Taylor,nfl,kent,9999999,28,None,True,taylor
5076,CLE,Kelly,None,John,['RB'],Active,RB,johnkelly,5076,John Kelly,nfl,john,9999999,25,None,True,kelly
4522,None,Agudosi,None,Carlton,['WR'],Inactive,WR,carltonagudosi,4522,Carlton Agudosi,nfl,carlton,9999999,27,None,False,agudosi
6031,None,Barnes,None,Alex,['RB'],Active,RB,alexbarnes,6031,Alex Barnes,nfl,alex,9999999,25,None,True,barnes
533,ARI,McCoy,None,Colt,['QB'],Inactive,QB,coltmccoy,533,Colt McCoy,nfl,colt,332,36,IR,True,mccoy
1450,None,Sanders,None,Ace,['WR'],Inactive,WR,acesanders,1450,Ace Sanders,nfl,ace,9999999,26,None,False,sanders
1275,None,Grimes,None,Jonathan,['RB'],Inactive,RB,jonathangrimes,1275,Jonathan Grimes,nfl,jonathan,9999999,30,None,False,grimes
7619,None,Sexton,None,Mathew,['WR'],Inactive,WR,mathewsexton,7619,Mathew Sexton,nfl,mathew,9999999,24,Questionable,True,sexton
516,None,Hernandez,None,Aaron,['TE'],Inactive,TE,aaronhernandez,516,Aaron Hernandez,nfl,aaron,9999999,29,None,False,hernandez
4244,None,Mays,None,Devante,['RB'],Inactive,RB,devantemays,4244,Devante Mays,nfl,devante,1216,27,None,False,mays
4376,None,Clark,None,Michael,['WR'],Inactive,WR,michaelclark,4376,Michael Clark,nfl,michael,9999999,26,None,False,clark
8407,None,Pledger,None,T.J.,['RB'],Active,RB,tjpledger,8407,T.J. Pledger,nfl,tj,9999999,None,None,True,pledger
8236,None,Sterns,None,Jerreth,['WR'],Active,WR,jerrethsterns,8236,Jerreth Sterns,nfl,jerreth,503,23,None,True,sterns
8259,None,Dicker,None,Cameron,['K'],Active,K,camerondicker,8259,Cameron Dicker,nfl,cameron,435,None,None,True,dicker
2788,None,Harwell,None,Nick,['WR'],Inactive,WR,nickharwell,2788,Nick Harwell,nfl,nick,9999999,26,None,False,harwell
5661,None,Lacy,None,Chris,['WR'],Active,WR,chrislacy,5661,Chris Lacy,nfl,chris,9999999,26,None,True,lacy
4089,LAC,Everett,TE,Gerald,['TE'],Active,TE,geraldeverett,4089,Gerald Everett,nfl,gerald,192,28,None,True,everett
4574,DAL,Rush,None,Cooper,['QB'],Active,QB,cooperrush,4574,Cooper Rush,nfl,cooper,9999999,28,None,True,rush
5255,None,Redding,None,Teo,['WR'],Active,WR,teoredding,5255,Teo Redding,nfl,teo,9999999,27,None,True,redding
4373,None,Williams,None,Stanley,['RB'],Active,RB,stanleywilliams,4373,Stanley Williams,nfl,stanley,9999999,26,None,True,williams
6068,DEN,Ozigbo,None,Devine,['RB'],Active,RB,devineozigbo,6068,Devine Ozigbo,nfl,devine,9999999,25,None,True,ozigbo
7602,IND,Granson,TE,Kylen,['TE'],Active,TE,kylengranson,7602,Kylen Granson,nfl,kylen,9999999,24,None,True,granson
6279,None,Dillon,None,Brandon,['TE'],Active,TE,brandondillon,6279,Brandon Dillon,nfl,brandon,9999999,25,None,True,dillon
3253,None,Carroo,None,Leonte,['WR'],Inactive,WR,leontecarroo,3253,Leonte Carroo,nfl,leonte,9999999,27,None,False,carroo
2634,None,Brown,None,Mack,['RB'],Inactive,RB,mackbrown,2634,Mack Brown,nfl,mack,9999999,30,None,False,brown
670,None,Osgood,None,Kassim,['WR'],Inactive,WR,kassimosgood,670,Kassim Osgood,nfl,kassim,9999999,37,None,False,osgood
