,round,roster_id,player_id,picked_by,pick_no,metadata,is_keeper,draft_slot,draft_id
0,1,7,ARI,860042136979128320,1,"{'years_exp': '', 'team': 'ARI', 'status': '', 'sport': 'nfl', 'slot': '2', 'position': 'DEF', 'player_id': 'ARI', 'number': '', 'news_updated': '', 'last_name': 'Cardinals', 'injury_status': '', 'first_name': 'Arizona', 'amount': '1'}",False,2,863992501013442560
1,1,7,ATL,860042136979128320,2,"{'years_exp': '', 'team': 'ATL', 'status': '', 'sport': 'nfl', 'slot': '2', 'position': 'DEF', 'player_id': 'ATL', 'number': '', 'news_updated': '', 'last_name': 'Falcons', 'injury_status': '', 'first_name': 'Atlanta', 'amount': '1'}",False,2,863992501013442560
2,1,7,CAR,860042136979128320,3,"{'years_exp': '', 'team': 'CAR', 'status': '', 'sport': 'nfl', 'slot': '2', 'position': 'DEF', 'player_id': 'CAR', 'number': '', 'news_updated': '', 'last_name': 'Panthers', 'injury_status': '', 'first_name': 'Carolina', 'amount': '1'}",False,2,863992501013442560
3,1,7,CHI,860042136979128320,4,"{'years_exp': '', 'team': 'CHI', 'status': '', 'sport': 'nfl', 'slot': '2', 'position': 'DEF', 'player_id': 'CHI', 'number': '', 'news_updated': '', 'last_name': 'Bears', 'injury_status': '', 'first_name': 'Chicago', 'amount': '1'}",False,2,863992501013442560
4,1,7,DAL,860042136979128320,5,"{'years_exp': '', 'team': 'DAL', 'status': '', 'sport': 'nfl', 'slot': '2', 'position': 'DEF', 'player_id': 'DAL', 'number': '', 'news_updated': '', 'last_name': 'Cowboys', 'injury_status': '', 'first_name': 'Dallas', 'amount': '1'}",False,2,863992501013442560
5,1,9,DET,860214724221087744,6,"{'years_exp': '', 'team': 'DET', 'status': '', 'sport': 'nfl', 'slot': '3', 'position': 'DEF', 'player_id': 'DET', 'number': '', 'news_updated': '', 'last_name': 'Lions', 'injury_status': '', 'first_name': 'Detroit', 'amount': '1'}",False,3,863992501013442560
6,1,9,GB,860214724221087744,7,"{'years_exp': '', 'team': 'GB', 'status': '', 'sport': 'nfl', 'slot': '3', 'position': 'DEF', 'player_id': 'GB', 'number': '', 'news_updated': '', 'last_name': 'Packers', 'injury_status': '', 'first_name': 'Green Bay', 'amount': '1'}",False,3,863992501013442560
7,1,9,LAR,860214724221087744,8,"{'years_exp': '', 'team': 'LAR', 'status': '', 'sport': 'nfl', 'slot': '3', 'position': 'DEF', 'player_id': 'LAR', 'number': '', 'news_updated': '', 'last_name': 'Rams', 'injury_status': '', 'first_name': 'Los Angeles', 'amount': '1'}",False,3,863992501013442560
8,1,7,8221,860042136979128320,9,"{'years_exp': '0', 'team': 'ARI', 'status': 'Active', 'sport': 'nfl', 'slot': '2', 'position': 'RB', 'player_id': '8221', 'number': '30', 'news_updated': '1661662261378', 'last_name': 'Ingram', 'injury_status': '', 'first_name': 'Keaontay', 'amount': '1'}",,2,863992501013442560
9,1,8,NO,860373364768874496,10,"{'years_exp': '', 'team': 'NO', 'status': '', 'sport': 'nfl', 'slot': '4', 'position': 'DEF', 'player_id': 'NO', 'number': '', 'news_updated': '', 'last_name': 'Saints', 'injury_status': '', 'first_name': 'New Orleans', 'amount': '1'}",False,4,863992501013442560
10,1,8,NYG,860373364768874496,11,"{'years_exp': '', 'team': 'NYG', 'status': '', 'sport': 'nfl', 'slot': '4', 'position': 'DEF', 'player_id': 'NYG', 'number': '', 'news_updated': '', 'last_name': 'Giants', 'injury_status': '', 'first_name': 'New York', 'amount': '1'}",False,4,863992501013442560
