,player_id,amount,last_name,first_name,round,roster_id,picked_by,pick_no,metadata,is_keeper,draft_slot,draft_id
0,4040,29,Smith-Schuster,JuJu,3,5,860612709442498560,36,"{'years_exp': '5', 'team': 'KC', 'status': 'Active', 'sport': 'nfl', 'slot': '1', 'position': 'WR', 'player_id': '4040', 'number': '9', 'news_updated': '1661799946543', 'last_name': 'Smith-Schuster', 'injury_status': '', 'first_name': 'JuJu', 'amount': '29'}",,1,863992501013442560
1,8138,28,Cook,James,4,11,860010803301076992,37,"{'years_exp': '0', 'team': 'BUF', 'status': 'Active', 'sport': 'nfl', 'slot': '12', 'position': 'RB', 'player_id': '8138', 'number': '28', 'news_updated': '1661616956272', 'last_name': 'Cook', 'injury_status': '', 'first_name': 'James', 'amount': '28'}",,12,863992501013442560
2,5052,1,Jones,Ronald,4,9,860214724221087744,38,"{'years_exp': '4', 'team': 'KC', 'status': 'Active', 'sport': 'nfl', 'slot': '3', 'position': 'RB', 'player_id': '5052', 'number': '2', 'news_updated': '1661876418118', 'last_name': 'Jones', 'injury_status': '', 'first_name': 'Ronald', 'amount': '1'}",,3,863992501013442560
3,8167,9,Watson,Christian,4,2,860010058744963072,42,"{'years_exp': '0', 'team': 'GB', 'status': 'Active', 'sport': 'nfl', 'slot': '5', 'position': 'WR', 'player_id': '8167', 'number': '9', 'news_updated': '1662406236360', 'last_name': 'Watson', 'injury_status': 'Questionable', 'first_name': 'Christian', 'amount': '9'}",,5,863992501013442560
4,6130,16,Singletary,Devin,4,12,860011165475012608,43,"{'years_exp': '3', 'team': 'BUF', 'status': 'Active', 'sport': 'nfl', 'slot': '7', 'position': 'RB', 'player_id': '6130', 'number': '26', 'news_updated': '1661575215947', 'last_name': 'Singletary', 'injury_status': '', 'first_name': 'Devin', 'amount': '16'}",,7,863992501013442560
5,5185,11,Lazard,Allen,4,4,741506726259523584,44,"{'years_exp': '4', 'team': 'GB', 'status': 'Active', 'sport': 'nfl', 'slot': '8', 'position': 'WR', 'player_id': '5185', 'number': '13', 'news_updated': '1662405936476', 'last_name': 'Lazard', 'injury_status': 'Questionable', 'first_name': 'Allen', 'amount': '11'}",,8,863992501013442560
6,7568,3,Jordan,Brevin,4,2,860010058744963072,45,"{'years_exp': '1', 'team': 'HOU', 'status': 'Active', 'sport': 'nfl', 'slot': '5', 'position': 'TE', 'player_id': '7568', 'number': '9', 'news_updated': '1661015158768', 'last_name': 'Jordan', 'injury_status': '', 'first_name': 'Brevin', 'amount': '3'}",,5,863992501013442560
7,8131,5,Likely,Isaiah,4,1,499807936168587264,46,"{'years_exp': '0', 'team': 'BAL', 'status': 'Active', 'sport': 'nfl', 'slot': '9', 'position': 'TE', 'player_id': '8131', 'number': '80', 'news_updated': '1661162704017', 'last_name': 'Likely', 'injury_status': '', 'first_name': 'Isaiah', 'amount': '5'}",,9,863992501013442560
8,2306,5,Winston,Jameis,4,5,860612709442498560,47,"{'years_exp': '7', 'team': 'NO', 'status': 'Active', 'sport': 'nfl', 'slot': '1', 'position': 'QB', 'player_id': '2306', 'number': '2', 'news_updated': '1661571915601', 'last_name': 'Winston', 'injury_status': '', 'first_name': 'Jameis', 'amount': '5'}",,1,863992501013442560
9,4033,9,Njoku,David,4,10,860019033666338816,48,"{'years_exp': '5', 'team': 'CLE', 'status': 'Active', 'sport': 'nfl', 'slot': '11', 'position': 'TE', 'player_id': '4033', 'number': '85', 'news_updated': '1662137148854', 'last_name': 'Njoku', 'injury_status': '', 'first_name': 'David', 'amount': '9'}",,11,863992501013442560
