,full_name,player_id,age,team,search_rank,sport,status,position,last_name,search_last_name,fantasy_positions,first_name,injury_status,search_full_name,active,depth_chart_position,search_first_name
5870,Daniel Jones,5870,25,NYG,226,nfl,Active,QB,Jones,jones,['QB'],Daniel,None,danieljones,True,QB,daniel
1347,Chris Gragg,1347,30,None,9999999,nfl,Inactive,TE,Gragg,gragg,['TE'],Chris,None,chrisgragg,False,None,chris
3396,Charone Peake,3396,29,None,1042,nfl,Inactive,WR,Peake,peake,['WR'],Charone,None,charonepeake,False,None,charone
6343,Manny Wilkins,6343,26,None,9999999,nfl,Active,QB,Wilkins,wilkins,['QB'],Manny,None,mannywilkins,True,None,manny
8595,Kyric McGowan,8595,None,WAS,9999999,nfl,Active,WR,McGowan,mcgowan,['WR'],Kyric,None,kyricmcgowan,True,LWR,kyric
3199,Michael Thomas,3199,29,NO,64,nfl,Active,WR,Thomas,thomas,['WR'],Michael,Questionable,michaelthomas,True,LWR,michael
1850,Tajh Boyd,1850,26,None,9999999,nfl,Inactive,QB,Boyd,boyd,['QB'],Tajh,None,tajhboyd,False,None,tajh
6487,Charles Scarff,6487,25,None,9999999,nfl,Inactive,TE,Scarff,scarff,['TE'],Charles,None,charlesscarff,True,None,charles
8209,Makai Polk,8209,21,BAL,297,nfl,Active,WR,Polk,polk,['WR'],Makai,None,makaipolk,True,LWR,makai
6898,Anthony Gordon,6898,25,None,9999999,nfl,Active,QB,Gordon,gordon,['QB'],Anthony,None,anthonygordon,True,None,anthony
2817,Daniel Rodriguez,2817,29,None,9999999,nfl,Inactive,WR,Rodriguez,rodriguez,['WR'],Daniel,None,danielrodriguez,False,None,daniel
3210,Cardale Jones,3210,29,None,9999999,nfl,Inactive,QB,Jones,jones,['QB'],Cardale,None,cardalejones,False,None,cardale
5781,Malik Turner,5781,26,SF,436,nfl,Active,WR,Turner,turner,['WR'],Malik,None,malikturner,True,RWR,malik
6992,Michael Warren,6992,23,DET,356,nfl,Inactive,RB,Warren,warren,['RB'],Michael,None,michaelwarren,True,None,michael
2041,Torrence Allen,2041,27,None,9999999,nfl,Inactive,WR,Allen,allen,['WR'],Torrence,None,torrenceallen,False,None,torrence
2286,Andrew Furney,2286,26,None,9999999,nfl,Inactive,K,Furney,furney,['K'],Andrew,None,andrewfurney,False,None,andrew
2050,Branden Oliver,2050,29,None,9999999,nfl,Inactive,RB,Oliver,oliver,['RB'],Branden,None,brandenoliver,False,None,branden
256,Rian Lindell,256,40,None,9999999,nfl,Inactive,K,Lindell,lindell,['K'],Rian,None,rianlindell,False,None,rian
1154,Ryan Broyles,1154,29,None,9999999,nfl,Inactive,WR,Broyles,broyles,['WR'],Ryan,None,ryanbroyles,False,None,ryan
4981,Calvin Ridley,4981,27,ATL,242,nfl,Inactive,WR,Ridley,ridley,['WR'],Calvin,Sus,calvinridley,True,None,calvin
4614,Riley McCarron,4614,28,None,9999999,nfl,Inactive,WR,McCarron,mccarron,['WR'],Riley,None,rileymccarron,False,None,riley
3573,Brandon Wilds,3573,28,None,9999999,nfl,Inactive,RB,Wilds,wilds,['RB'],Brandon,None,brandonwilds,False,None,brandon
8770,Malik Williams,8770,23,None,9999999,nfl,Active,WR,Williams,williams,['WR'],Malik,None,malikwilliams,True,None,malik
8248,Kalil Pimpleton,8248,None,DET,495,nfl,Active,WR,Pimpleton,pimpleton,['WR'],Kalil,None,kalilpimpleton,True,SWR,kalil
6374,Drew Belcher,6374,25,None,9999999,nfl,Active,TE,Belcher,belcher,['TE'],Drew,None,drewbelcher,True,None,drew
2025,Albert Wilson,2025,30,None,421,nfl,Active,WR,Wilson,wilson,['WR'],Albert,None,albertwilson,True,None,albert
4218,Trent Taylor,4218,28,CIN,9999999,nfl,Active,WR,Taylor,taylor,['WR'],Trent,None,trenttaylor,True,SWR,trent
7609,Demetric Felton,7609,24,CLE,510,nfl,Active,RB,Felton,felton,['RB'],Demetric,None,demetricfelton,True,None,demetric
7515,Sergio Castillo,7515,31,None,None,nfl,Active,K,Castillo,castillo,['K'],Sergio,None,sergiocastillo,True,None,sergio
2446,MyCole Pruitt,2446,30,ATL,264,nfl,Active,TE,Pruitt,pruitt,['TE'],MyCole,None,mycolepruitt,True,None,mycole
2653,Brian Parker,2653,29,None,9999999,nfl,Inactive,TE,Parker,parker,['TE'],Brian,None,brianparker,False,None,brian
4861,Kent Taylor,4861,28,None,9999999,nfl,Active,TE,Taylor,taylor,['TE'],Kent,None,kenttaylor,True,None,kent
5076,John Kelly,5076,25,CLE,558,nfl,Active,RB,Kelly,kelly,['RB'],John,None,johnkelly,True,None,john
4522,Carlton Agudosi,4522,27,None,9999999,nfl,Inactive,WR,Agudosi,agudosi,['WR'],Carlton,None,carltonagudosi,False,None,carlton
6031,Alex Barnes,6031,25,None,9999999,nfl,Active,RB,Barnes,barnes,['RB'],Alex,None,alexbarnes,True,None,alex
533,Colt McCoy,533,35,ARI,9999999,nfl,Active,QB,McCoy,mccoy,['QB'],Colt,None,coltmccoy,True,QB,colt
1450,Ace Sanders,1450,26,None,9999999,nfl,Inactive,WR,Sanders,sanders,['WR'],Ace,None,acesanders,False,None,ace
1275,Jonathan Grimes,1275,30,None,9999999,nfl,Inactive,RB,Grimes,grimes,['RB'],Jonathan,None,jonathangrimes,False,None,jonathan
7619,Mathew Sexton,7619,24,None,9999999,nfl,Inactive,WR,Sexton,sexton,['WR'],Mathew,Questionable,mathewsexton,True,None,mathew
516,Aaron Hernandez,516,29,None,9999999,nfl,Inactive,TE,Hernandez,hernandez,['TE'],Aaron,None,aaronhernandez,False,None,aaron
4244,Devante Mays,4244,27,None,1216,nfl,Inactive,RB,Mays,mays,['RB'],Devante,None,devantemays,False,None,devante
4376,Michael Clark,4376,26,None,9999999,nfl,Inactive,WR,Clark,clark,['WR'],Michael,None,michaelclark,False,None,michael
8407,T.J. Pledger,8407,None,None,9999999,nfl,Active,RB,Pledger,pledger,['RB'],T.J.,None,tjpledger,True,None,tj
8236,Jerreth Sterns,8236,23,TB,503,nfl,Active,WR,Sterns,sterns,['WR'],Jerreth,None,jerrethsterns,True,None,jerreth
8259,Cameron Dicker,8259,None,None,435,nfl,Active,K,Dicker,dicker,['K'],Cameron,None,camerondicker,True,None,cameron
2788,Nick Harwell,2788,26,None,9999999,nfl,Inactive,WR,Harwell,harwell,['WR'],Nick,None,nickharwell,False,None,nick
5661,Chris Lacy,5661,26,None,9999999,nfl,Active,WR,Lacy,lacy,['WR'],Chris,None,chrislacy,True,None,chris
4089,Gerald Everett,4089,28,LAC,193,nfl,Active,TE,Everett,everett,['TE'],Gerald,None,geraldeverett,True,LTE,gerald
4574,Cooper Rush,4574,28,DAL,9999999,nfl,Active,QB,Rush,rush,['QB'],Cooper,None,cooperrush,True,QB,cooper
5255,Teo Redding,5255,27,None,9999999,nfl,Active,WR,Redding,redding,['WR'],Teo,None,teoredding,True,None,teo
4373,Stanley Williams,4373,26,None,9999999,nfl,Active,RB,Williams,williams,['RB'],Stanley,None,stanleywilliams,True,None,stanley
6068,Devine Ozigbo,6068,25,DEN,9999999,nfl,Active,RB,Ozigbo,ozigbo,['RB'],Devine,None,devineozigbo,True,RB,devine
7602,Kylen Granson,7602,24,IND,685,nfl,Active,TE,Granson,granson,['TE'],Kylen,None,kylengranson,True,TE,kylen
6279,Brandon Dillon,6279,25,None,9999999,nfl,Active,TE,Dillon,dillon,['TE'],Brandon,None,brandondillon,True,None,brandon
3253,Leonte Carroo,3253,27,None,9999999,nfl,Inactive,WR,Carroo,carroo,['WR'],Leonte,None,leontecarroo,False,None,leonte
2634,Mack Brown,2634,30,None,9999999,nfl,Inactive,RB,Brown,brown,['RB'],Mack,None,mackbrown,False,None,mack
670,Kassim Osgood,670,37,None,9999999,nfl,Inactive,WR,Osgood,osgood,['WR'],Kassim,None,kassimosgood,False,None,kassim
2907,Ben Edwards,2907,28,None,9999999,nfl,Inactive,WR,Edwards,edwards,['WR'],Ben,None,benedwards,False,None,ben
8778,Justin Rigg,8778,24,CIN,9999999,nfl,Active,TE,Rigg,rigg,['TE'],Justin,None,justinrigg,True,None,justin
111,Marcedes Lewis,111,38,GB,447,nfl,Active,TE,Lewis,lewis,['TE'],Marcedes,None,marcedeslewis,True,LTE,marcedes
6446,Jon Hilliman,6446,26,None,1740,nfl,Active,RB,Hilliman,hilliman,['RB'],Jon,None,jonhilliman,True,None,jon
7064,Darrynton Evans,7064,24,CHI,680,nfl,Active,RB,Evans,evans,['RB'],Darrynton,None,darryntonevans,True,None,darrynton
8138,James Cook,8138,22,BUF,100,nfl,Active,RB,Cook,cook,['RB'],James,None,jamescook,True,RB,james
7594,Chuba Hubbard,7594,23,CAR,181,nfl,Active,RB,Hubbard,hubbard,['RB'],Chuba,None,chubahubbard,True,RB,chuba
2145,Chase Rettig,2145,25,None,9999999,nfl,Inactive,QB,Rettig,rettig,['QB'],Chase,None,chaserettig,False,None,chase
7108,Hasise Dubois,7108,None,None,9999999,nfl,Inactive,WR,Dubois,dubois,['WR'],Hasise,NA,hasisedubois,False,None,hasise
175,Jordy Nelson,175,36,None,9999999,nfl,Injured Reserve,WR,Nelson,nelson,['WR'],Jordy,None,jordynelson,False,None,jordy
4036,Corey Davis,4036,27,NYJ,255,nfl,Active,WR,Davis,davis,['WR'],Corey,None,coreydavis,True,LWR,corey
6618,Isaiah Searight,6618,24,None,9999999,nfl,Active,TE,Searight,searight,['TE'],Isaiah,None,isaiahsearight,True,None,isaiah
7094,Lirim Hajrullahu,7094,32,None,485,nfl,Active,K,Hajrullahu,hajrullahu,['K'],Lirim,None,lirimhajrullahu,True,None,lirim
6271,Olamide Zaccheaus,6271,25,ATL,556,nfl,Active,WR,Zaccheaus,zaccheaus,['WR'],Olamide,None,olamidezaccheaus,True,SWR,olamide
2560,Zach Zenner,2560,30,None,9999999,nfl,Active,RB,Zenner,zenner,['RB'],Zach,None,zachzenner,True,None,zach
