,user_id,settings,metadata,league_id,is_owner,is_bot,display_name,avatar1,team_name,mention_pn,avatar2,allow_sms,allow_pn,show_mascots,mascot_message_emotion_leg_1,mascot_item_type_id_leg_9,mascot_item_type_id_leg_8,mascot_item_type_id_leg_7,mascot_item_type_id_leg_6,mascot_item_type_id_leg_5,mascot_item_type_id_leg_4,mascot_item_type_id_leg_3,mascot_item_type_id_leg_2,mascot_item_type_id_leg_18,mascot_item_type_id_leg_17,mascot_item_type_id_leg_16,mascot_item_type_id_leg_15,mascot_item_type_id_leg_14,mascot_item_type_id_leg_13,mascot_item_type_id_leg_12,mascot_item_type_id_leg_11,mascot_item_type_id_leg_10,mascot_item_type_id_leg_1,team_name_update,trade_block_pn,join_voice_pn,user_message_pn,transaction_commissioner,transaction_free_agent,transaction_trade,transaction_waiver,player_like_pn,mascot_message,player_nickname_update
0,499807936168587264,None,"{'team_name': 'KnightHawks', 'mention_pn': 'on', 'mascot_message_emotion_leg_1': 'idle', 'mascot_item_type_id_leg_9': 'pirate-bird', 'mascot_item_type_id_leg_8': 'pirate-bird', 'mascot_item_type_id_leg_7': 'pirate-bird', 'mascot_item_type_id_leg_6': 'pirate-bird', 'mascot_item_type_id_leg_5': 'pirate-bird', 'mascot_item_type_id_leg_4': 'pirate-bird', 'mascot_item_type_id_leg_3': 'pirate-bird', 'mascot_item_type_id_leg_2': 'pirate-bird', 'mascot_item_type_id_leg_18': 'pirate-bird', 'mascot_item_type_id_leg_17': 'pirate-bird', 'mascot_item_type_id_leg_16': 'pirate-bird', 'mascot_item_type_id_leg_15': 'pirate-bird', 'mascot_item_type_id_leg_14': 'pirate-bird', 'mascot_item_type_id_leg_13': 'pirate-bird', 'mascot_item_type_id_leg_12': 'pirate-bird', 'mascot_item_type_id_leg_11': 'pirate-bird', 'mascot_item_type_id_leg_10': 'pirate-bird', 'mascot_item_type_id_leg_1': 'pirate-bird', 'avatar': 'https://sleepercdn.com/uploads/0465d61c7238180db8987ddcb663c74d.jpg', 'allow_sms': 'on', 'allow_pn': 'on'}",859990766557179904,True,False,EAGLEi,e509f18787482ccd84ae83d0976f9d55,KnightHawks,on,idle,pirate-bird,pirate-bird,pirate-bird,pirate-bird,pirate-bird,pirate-bird,pirate-bird,pirate-bird,pirate-bird,pirate-bird,pirate-bird,pirate-bird,pirate-bird,pirate-bird,pirate-bird,pirate-bird,pirate-bird,pirate-bird,https://sleepercdn.com/uploads/0465d61c7238180db8987ddcb663c74d.jpg,on,on,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1,741506726259523584,None,"{'team_name': 'MeNajee Trois', 'mention_pn': 'on', 'allow_pn': 'on'}",859990766557179904,False,False,menty,15d7cf259bc30eab8f6120f45f652fb6,MeNajee Trois,on,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,on,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2,741517785796116480,None,"{'team_name': 'Great Britton', 'show_mascots': 'on', 'mention_pn': 'on', 'mascot_message_emotion_leg_1': 'idle', 'mascot_item_type_id_leg_9': 'troll', 'mascot_item_type_id_leg_8': 'troll', 'mascot_item_type_id_leg_7': 'troll', 'mascot_item_type_id_leg_6': 'troll', 'mascot_item_type_id_leg_5': 'troll', 'mascot_item_type_id_leg_4': 'troll', 'mascot_item_type_id_leg_3': 'troll', 'mascot_item_type_id_leg_2': 'troll', 'mascot_item_type_id_leg_18': 'troll', 'mascot_item_type_id_leg_17': 'troll', 'mascot_item_type_id_leg_16': 'troll', 'mascot_item_type_id_leg_15': 'troll', 'mascot_item_type_id_leg_14': 'troll', 'mascot_item_type_id_leg_13': 'troll', 'mascot_item_type_id_leg_12': 'troll', 'mascot_item_type_id_leg_11': 'troll', 'mascot_item_type_id_leg_10': 'troll', 'mascot_item_type_id_leg_1': 'troll', 'avatar': 'https://sleepercdn.com/uploads/a35038904664ff0d447f3eba9c3a2398.jpg', 'allow_sms': 'on', 'allow_pn': 'on'}",859990766557179904,False,False,Wotastic,a35038904664ff0d447f3eba9c3a2398,Great Britton,on,idle,troll,troll,troll,troll,troll,troll,troll,troll,troll,troll,troll,troll,troll,troll,troll,troll,troll,troll,https://sleepercdn.com/uploads/a35038904664ff0d447f3eba9c3a2398.jpg,on,on,on,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3,860010058744963072,None,"{'mascot_item_type_id_leg_6': 'panpan', 'mascot_item_type_id_leg_10': 'panpan', 'mascot_item_type_id_leg_18': 'panpan', 'team_name_update': 'off', 'mention_pn': 'on', 'mascot_item_type_id_leg_5': 'panpan', 'mascot_item_type_id_leg_13': 'panpan', 'team_name': 'Resident Stevil', 'allow_pn': 'off', 'mascot_item_type_id_leg_9': 'panpan', 'mascot_item_type_id_leg_8': 'panpan', 'mascot_item_type_id_leg_7': 'panpan', 'mascot_item_type_id_leg_17': 'panpan', 'mascot_item_type_id_leg_12': 'panpan', 'mascot_item_type_id_leg_15': 'panpan', 'trade_block_pn': 'on', 'join_voice_pn': 'off', 'user_message_pn': 'off', 'transaction_commissioner': 'on', 'transaction_free_agent': 'on', 'allow_sms': 'on', 'mascot_item_type_id_leg_4': 'panpan', 'transaction_trade': 'on', 'transaction_waiver': 'on', 'mascot_message_emotion_leg_1': 'idle', 'mascot_item_type_id_leg_16': 'panpan', 'mascot_item_type_id_leg_11': 'panpan', 'mascot_item_type_id_leg_1': 'panpan', 'player_like_pn': 'on', 'mascot_item_type_id_leg_3': 'panpan', 'mascot_message': 'on', 'mascot_item_type_id_leg_14': 'panpan', 'player_nickname_update': 'off', 'mascot_item_type_id_leg_2': 'panpan'}",859990766557179904,True,False,skwichmer,d58d89cf3f7f98918ae1ba4e558a94de,Resident Stevil,on,idle,panpan,panpan,panpan,panpan,panpan,panpan,panpan,panpan,panpan,panpan,panpan,panpan,panpan,panpan,panpan,panpan,panpan,panpan,nan,on,off,nan,off,on,off,off,on,on,on,on,on,on,off
4,860010803301076992,None,"{'team_name': 'War Machine', 'mention_pn': 'on', 'allow_pn': 'on'}",859990766557179904,False,False,JimmerzK,76a35a84af0ea9e4f13dca9c2f13611f,War Machine,on,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,on,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5,860011165475012608,None,"{'team_name': 'Healthy Scratch ', 'show_mascots': 'on', 'mention_pn': 'on', 'mascot_message_emotion_leg_1': 'taunting', 'mascot_item_type_id_leg_9': 'dirty-bird', 'mascot_item_type_id_leg_8': 'dirty-bird', 'mascot_item_type_id_leg_7': 'dirty-bird', 'mascot_item_type_id_leg_6': 'dirty-bird', 'mascot_item_type_id_leg_5': 'dirty-bird', 'mascot_item_type_id_leg_4': 'dirty-bird', 'mascot_item_type_id_leg_3': 'dirty-bird', 'mascot_item_type_id_leg_2': 'dirty-bird', 'mascot_item_type_id_leg_18': 'dirty-bird', 'mascot_item_type_id_leg_17': 'dirty-bird', 'mascot_item_type_id_leg_16': 'dirty-bird', 'mascot_item_type_id_leg_15': 'dirty-bird', 'mascot_item_type_id_leg_14': 'dirty-bird', 'mascot_item_type_id_leg_13': 'dirty-bird', 'mascot_item_type_id_leg_12': 'dirty-bird', 'mascot_item_type_id_leg_11': 'dirty-bird', 'mascot_item_type_id_leg_10': 'dirty-bird', 'mascot_item_type_id_leg_1': 'dirty-bird', 'avatar': 'https://sleepercdn.com/uploads/4d0e47937afd5fe9ef576bfed07f2fcb.jpg', 'allow_pn': 'on'}",859990766557179904,False,False,HealthyScratch7,37259ac49f7d87ac18c6acfaba1e47a8,Healthy Scratch ,on,taunting,dirty-bird,dirty-bird,dirty-bird,dirty-bird,dirty-bird,dirty-bird,dirty-bird,dirty-bird,dirty-bird,dirty-bird,dirty-bird,dirty-bird,dirty-bird,dirty-bird,dirty-bird,dirty-bird,dirty-bird,dirty-bird,https://sleepercdn.com/uploads/4d0e47937afd5fe9ef576bfed07f2fcb.jpg,nan,on,on,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6,860019033666338816,None,"{'team_name': 'Hair Force Blue', 'mention_pn': 'on', 'allow_sms': 'on', 'allow_pn': 'on'}",859990766557179904,False,False,AmmoMike,4f4090e5e9c3941414db40a871e3e909,Hair Force Blue,on,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,on,on,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7,860042136979128320,None,"{'team_name': 'Monarchs', 'mention_pn': 'on', 'allow_sms': 'on', 'allow_pn': 'on'}",859990766557179904,False,False,rightofcenter77,8eb8f8bf999945d523f2c4033f70473e,Monarchs,on,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,on,on,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8,860214724221087744,None,"{'mention_pn': 'on', 'avatar': 'https://sleepercdn.com/uploads/aa7814b9c2799b65c45ec8237a6e4864', 'allow_pn': 'on'}",859990766557179904,False,False,RLTHAWKS,4f4090e5e9c3941414db40a871e3e909,RLTHAWKS,on,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,https://sleepercdn.com/uploads/aa7814b9c2799b65c45ec8237a6e4864,nan,on,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9,860373364768874496,None,"{'user_message_pn': 'off', 'transaction_waiver': 'off', 'transaction_trade': 'off', 'transaction_free_agent': 'off', 'transaction_commissioner': 'off', 'trade_block_pn': 'off', 'team_name_update': 'off', 'team_name': 'Werkmonsters', 'show_mascots': 'off', 'player_nickname_update': 'off', 'player_like_pn': 'off', 'mention_pn': 'on', 'mascot_message': 'off', 'join_voice_pn': 'off', 'allow_pn': 'on'}",859990766557179904,False,False,werkmonsters,8eb8f8bf999945d523f2c4033f70473e,Werkmonsters,on,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,on,off,off,off,off,off,off,off,off,off,off,off,off
